name	state	district	specialization	contactPhone
Helping Han	Andhra Pradesh	Guntur	Women Welfare	9123456780
Care India N	Telangana	Hyderabad	Child Rights	9123456781
Save the Children	Karnataka	Bangalore	Child Welfare	9876543210
Red Cross Society	Maharashtra	Mumbai	Disaster Relief	9988776655
Smile Foundation	Delhi	Delhi	Education Support	9876123450
Goonj	Uttar Pradesh	Lucknow	Community Welfare	9123345567
Pratham	Tamil Nadu	Chennai	Education	9876543212
CRY	Kerala	Kochi	Child Rights	9123456790
Akshaya Patra	Odisha	Bhubaneswar	Food Support	9123456791
CARE Foundation	Punjab	Amritsar	Women & Children	9123456792
Bachpan Bachao	Haryana	Gurugram	Child Rights	9123456793
Nanhi Kali	Rajasthan	Jaipur	Education	9123456794
Seva Bharati	Gujarat	Ahmedabad	Health & Welfare	9123456795
Udayan Care	West Bengal	Kolkata	Orphan Support	9123456796
SOS Children Village	Himachal Pradesh	Shimla	Child Welfare	9123456797
Save Life Foundation	Assam	Guwahati	Emergency Care	9123456798
Prayas	Jharkhand	Ranchi	Youth Welfare	9123456799
Smile Foundation	Chhattisgarh	Raipur	Education	9123456800
HelpAge India	Meghalaya	Shillong	Senior Citizens	9123456801
CRY	Manipur	Imphal	Child Rights	9123456802
Akshaya Patra	Nagaland	Kohima	Food Support	9123456803
CARE Foundation	Tripura	Agartala	Women & Children	9123456804
Nanhi Kali	Mizoram	Aizawl	Education	9123456805
Seva Bharati	Sikkim	Gangtok	Health & Welfare	9123456806
Udayan Care	Arunachal Pradesh	Itanagar	Orphan Support	9123456807
SOS Children Village	Ladakh	Leh	Child Welfare	9123456808
Save Life Foundation	Jammu & Kashmir	Srinagar	Emergency Care	9123456809
